event_id,matched,source_video,video_sec,video_time,clip_start_sec,clip_start,clip_end_sec,clip_end,quarter,clock_remaining,categories,duration_sec,start_type,end_type,start_description,end_description
"1","yes","video/3Q.mov","19","00:19","19","00:19","75","01:15","Q3","09:48_to_09:18","q3_cutpoint_segment","56","defensive_rebound","defensive_rebound","31 Jaeseok Jang defensive rebound","0 Benson Lin defensive rebound"
"2","yes","video/3Q.mov","75","01:15","75","01:15","83","01:23","Q3","09:18_to_09:10","q3_cutpoint_segment","8","defensive_rebound","defensive_rebound","0 Benson Lin defensive rebound","31 Jaeseok Jang defensive rebound"
"3","yes","video/3Q.mov","83","01:23","83","01:23","90","01:30","Q3","09:10_to_09:03","q3_cutpoint_segment","7","defensive_rebound","score","31 Jaeseok Jang defensive rebound","6 Junghyun Lee | +2 | 2PtsFG under the basket, driving layup made"
"4","yes","video/3Q.mov","90","01:30","90","01:30","114","01:54","Q3","09:03_to_08:39","q3_cutpoint_segment","24","score","score","6 Junghyun Lee | +2 | 2PtsFG under the basket, driving layup made","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"5","yes","video/3Q.mov","114","01:54","114","01:54","119","01:59","Q3","08:39_to_08:34","q3_cutpoint_segment","5","score","score","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made","31 Jaeseok Jang | +2 | 2PtsFG under the basket, fast break, layup made"
"6","yes","video/3Q.mov","119","01:59","119","01:59","131","02:11","Q3","08:34_to_08:22","q3_cutpoint_segment","12","score","turnover","31 Jaeseok Jang | +2 | 2PtsFG under the basket, fast break, layup made","10 Long-Mao Hu turnover; bad pass"
"7","yes","video/3Q.mov","131","02:11","131","02:11","167","02:47","Q3","08:22_to_08:07","q3_cutpoint_segment","36","turnover","score","10 Long-Mao Hu turnover; bad pass","33 Seounghyun Lee | +2 | 2PtsFG inside right, points after turnover, jump shot made"
"8","yes","video/3Q.mov","167","02:47","167","02:47","180","03:00","Q3","08:07_to_07:53","q3_cutpoint_segment","13","score","foul","33 Seounghyun Lee | +2 | 2PtsFG inside right, points after turnover, jump shot made","9 Ying-Chun Chen foul drawn / 6 Junghyun Lee Personal foul"
"9","yes","video/3Q.mov","180","03:00","180","03:00","226","03:46","Q3","07:53_to_07:39","q3_cutpoint_segment","46","foul","score","9 Ying-Chun Chen foul drawn / 6 Junghyun Lee Personal foul","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, alley oop dunk made"
"10","yes","video/3Q.mov","226","03:46","226","03:46","272","04:32","Q3","07:39_to_07:24","q3_cutpoint_segment","46","score","score","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, alley oop dunk made","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made"
"11","yes","video/3Q.mov","272","04:32","272","04:32","283","04:43","Q3","07:24_to_07:13","q3_cutpoint_segment","11","score","score","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made","9 Ying-Chun Chen | +2 | 2pt floating jump shot made"
"12","yes","video/3Q.mov","283","04:43","283","04:43","291","04:51","Q3","07:13_to_07:05","q3_cutpoint_segment","8","score","foul","9 Ying-Chun Chen | +2 | 2pt floating jump shot made","5 Junhyeong Byeon foul drawn / 9 Ying-Chun Chen Personal foul"
"13","yes","video/3Q.mov","291","04:51","291","04:51","323","05:23","Q3","07:05_to_06:53","q3_cutpoint_segment","32","foul","defensive_rebound","5 Junhyeong Byeon foul drawn / 9 Ying-Chun Chen Personal foul","10 Long-Mao Hu defensive rebound"
"14","yes","video/3Q.mov","323","05:23","323","05:23","332","05:32","Q3","06:53_to_06:44","q3_cutpoint_segment","9","defensive_rebound","defensive_rebound","10 Long-Mao Hu defensive rebound","33 Seounghyun Lee defensive rebound"
"15","yes","video/3Q.mov","332","05:32","332","05:32","381","06:21","Q3","06:44_to_06:11","q3_cutpoint_segment","49","defensive_rebound","score","33 Seounghyun Lee defensive rebound","7 Kisang Yu | +2 | 2pt pullup jump shot made"
"16","yes","video/3Q.mov","381","06:21","381","06:21","404","06:44","Q3","06:11_to_05:48","q3_cutpoint_segment","23","score","defensive_rebound","7 Kisang Yu | +2 | 2pt pullup jump shot made","2 Junyong Choi defensive rebound"
"17","yes","video/3Q.mov","404","06:44","404","06:44","416","06:56","Q3","05:48_to_05:36","q3_cutpoint_segment","12","defensive_rebound","score;foul;foul","2 Junyong Choi defensive rebound","2 Junyong Choi | +1 | 2nd of 2 free throws made / 2 Junyong Choi foul drawn / 0 Benson Lin Personal foul; 2 free throws awarded"
"18","yes","video/3Q.mov","416","06:56","416","06:56","502","08:22","Q3","05:36_to_05:23","q3_cutpoint_segment","86","score;foul;foul","defensive_rebound","2 Junyong Choi | +1 | 2nd of 2 free throws made / 2 Junyong Choi foul drawn / 0 Benson Lin Personal foul; 2 free throws awarded","5 Junhyeong Byeon defensive rebound"
"19","yes","video/3Q.mov","502","08:22","502","08:22","515","08:35","Q3","05:23_to_05:10","q3_cutpoint_segment","13","defensive_rebound","score","5 Junhyeong Byeon defensive rebound","36 Daniel Edi | +2 | 2PtsFG under the basket, layup made"
"20","yes","video/3Q.mov","515","08:35","515","08:35","535","08:55","Q3","05:10_to_04:50","q3_cutpoint_segment","20","score","score","36 Daniel Edi | +2 | 2PtsFG under the basket, layup made","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"21","yes","video/3Q.mov","535","08:55","535","08:55","543","09:03","Q3","04:50_to_04:42","q3_cutpoint_segment","8","score","turnover","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made","5 Junhyeong Byeon turnover; ball handling"
"22","yes","video/3Q.mov","543","09:03","543","09:03","547","09:07","Q3","04:42_to_04:38","q3_cutpoint_segment","4","turnover","score","5 Junhyeong Byeon turnover; ball handling","2 Riven Ma | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made"
"23","yes","video/3Q.mov","547","09:07","547","09:07","665","11:05","Q3","04:38_to_04:23","q3_cutpoint_segment","118","score","score;foul;foul","2 Riven Ma | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made","7 Kisang Yu | +1 | 2nd of 2 free throws made / 7 Kisang Yu | +1 | 1st of 2 free throws made / 7 Kisang Yu foul drawn / 1 Bachir Gadiaga Personal foul; 2 free throws awarded"
"24","yes","video/3Q.mov","665","11:05","665","11:05","731","12:11","Q3","04:23_to_04:11","q3_cutpoint_segment","66","score;foul;foul","score","7 Kisang Yu | +1 | 2nd of 2 free throws made / 7 Kisang Yu | +1 | 1st of 2 free throws made / 7 Kisang Yu foul drawn / 1 Bachir Gadiaga Personal foul; 2 free throws awarded","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made"
"25","yes","video/3Q.mov","731","12:11","731","12:11","745","12:25","Q3","04:11_to_03:57","q3_cutpoint_segment","14","score","foul","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made","36 Daniel Edi foul drawn / 0 Benson Lin Personal foul"
"26","yes","video/3Q.mov","745","12:25","745","12:25","770","12:50","Q3","03:57_to_03:55","q3_cutpoint_segment","25","foul","score","36 Daniel Edi foul drawn / 0 Benson Lin Personal foul","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made"
"27","yes","video/3Q.mov","770","12:50","770","12:50","803","13:23","Q3","03:55_to_03:22","q3_cutpoint_segment","33","score","score","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, jump shot made"
"28","yes","video/3Q.mov","803","13:23","803","13:23","821","13:41","Q3","03:22_to_03:05","q3_cutpoint_segment","18","score","turnover","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, jump shot made","5 Junhyeong Byeon turnover; bad pass"
"29","yes","video/3Q.mov","821","13:41","821","13:41","826","13:46","Q3","03:05_to_02:59","q3_cutpoint_segment","5","turnover","turnover","5 Junhyeong Byeon turnover; bad pass","2 Riven Ma 3PtsFG outside left, points from fastbreak + after turnover, jump shot missed"
"30","yes","video/3Q.mov","826","13:46","826","13:46","830","13:50","Q3","02:59_to_02:55","q3_cutpoint_segment","4","turnover","defensive_rebound","2 Riven Ma 3PtsFG outside left, points from fastbreak + after turnover, jump shot missed","7 Kisang Yu defensive rebound"
"31","yes","video/3Q.mov","830","13:50","830","13:50","838","13:58","Q3","02:55_to_02:47","q3_cutpoint_segment","8","defensive_rebound","score","7 Kisang Yu defensive rebound","7 Kisang Yu | +3 | 3pt jump shot from center made"
"32","yes","video/3Q.mov","838","13:58","838","13:58","851","14:11","Q3","02:47_to_02:34","q3_cutpoint_segment","13","score","turnover","7 Kisang Yu | +3 | 3pt jump shot from center made","34 Brandon Gilbeck turnover; ball handling"
"33","yes","video/3Q.mov","851","14:11","851","14:11","855","14:15","Q3","02:34_to_02:29","q3_cutpoint_segment","4","turnover","score","34 Brandon Gilbeck turnover; ball handling","36 Daniel Edi | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
"34","yes","video/3Q.mov","855","14:15","855","14:15","985","16:25","Q3","02:29_to_02:10","q3_cutpoint_segment","130","score","defensive_rebound","36 Daniel Edi | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made","3 Jihoon Park defensive rebound"
"35","yes","video/3Q.mov","985","16:25","985","16:25","1012","16:52","Q3","02:10_to_01:43","q3_cutpoint_segment","27","defensive_rebound","defensive_rebound","3 Jihoon Park defensive rebound","1 Bachir Gadiaga defensive rebound"
"36","yes","video/3Q.mov","1012","16:52","1012","16:52","1019","16:59","Q3","01:43_to_01:36","q3_cutpoint_segment","7","defensive_rebound","score","1 Bachir Gadiaga defensive rebound","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, driving layup made"
"37","yes","video/3Q.mov","1019","16:59","1019","16:59","1043","17:23","Q3","01:36_to_01:12","q3_cutpoint_segment","24","score","turnover","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, driving layup made","31 Jaeseok Jang turnover; bad pass"
"38","yes","video/3Q.mov","1043","17:23","1043","17:23","1045","17:25","Q3","01:12_to_01:10","q3_cutpoint_segment","2","turnover","foul","31 Jaeseok Jang turnover; bad pass","7 Ai-Che Yu foul drawn / 7 Kisang Yu Personal foul"
