event_id,matched,source_video,video_sec,video_time,clip_start_sec,clip_start,clip_end_sec,clip_end,quarter,clock_remaining,categories,duration_sec,start_type,end_type,start_description,end_description
"1","yes","video/4Q.mov","10","00:10","10","00:10","35","00:35","Q4","09:46_to_09:37","q4_cutpoint_segment","25","turnover","foul","22 Jun Seok Yeo turnover; travelling","9 Ying-Chun Chen foul drawn / 7 Kisang Yu Personal foul"
"2","yes","video/4Q.mov","35","00:35","35","00:35","72","01:12","Q4","09:37_to_09:25","q4_cutpoint_segment","37","foul","score","9 Ying-Chun Chen foul drawn / 7 Kisang Yu Personal foul","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points after turnover, driving layup made"
"3","yes","video/4Q.mov","72","01:12","72","01:12","90","01:30","Q4","09:25_to_09:07","q4_cutpoint_segment","18","score","defensive_rebound","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points after turnover, driving layup made","1 Bachir Gadiaga defensive rebound"
"4","yes","video/4Q.mov","90","01:30","90","01:30","98","01:38","Q4","09:07_to_08:59","q4_cutpoint_segment","8","defensive_rebound","score","1 Bachir Gadiaga defensive rebound","9 Ying-Chun Chen | +2 | 2pt step back jump shot made"
"5","yes","video/4Q.mov","98","01:38","98","01:38","122","02:02","Q4","08:59_to_08:35","q4_cutpoint_segment","24","score","turnover","9 Ying-Chun Chen | +2 | 2pt step back jump shot made","3 Jihoon Park turnover; ball handling"
"6","yes","video/4Q.mov","122","02:02","122","02:02","128","02:08","Q4","08:35_to_08:29","q4_cutpoint_segment","6","turnover","score","3 Jihoon Park turnover; ball handling","9 Ying-Chun Chen | +3 | 3PtsFG outside left, points from fastbreak + after turnover, jump shot made"
"7","yes","video/4Q.mov","128","02:08","128","02:08","235","03:55","Q4","08:29_to_08:15","q4_cutpoint_segment","107","score","foul","9 Ying-Chun Chen | +3 | 3PtsFG outside left, points from fastbreak + after turnover, jump shot made","22 Jun Seok Yeo foul drawn / 7 Ai-Che Yu Personal foul"
"8","yes","video/4Q.mov","235","03:55","235","03:55","260","04:20","Q4","08:15_to_08:10","q4_cutpoint_segment","25","foul","foul","22 Jun Seok Yeo foul drawn / 7 Ai-Che Yu Personal foul","31 Jaeseok Jang foul drawn / 9 Ying-Chun Chen Personal foul"
"9","yes","video/4Q.mov","260","04:20","260","04:20","303","05:03","Q4","08:10_to_07:55","q4_cutpoint_segment","43","foul","score","31 Jaeseok Jang foul drawn / 9 Ying-Chun Chen Personal foul","11 Woosuk Lee | +2 | 2PtsFG under the basket, layup made"
"10","yes","video/4Q.mov","303","05:03","303","05:03","310","05:10","Q4","07:55_to_07:48","q4_cutpoint_segment","7","score","score","11 Woosuk Lee | +2 | 2PtsFG under the basket, layup made","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, fast break, driving layup made"
"11","yes","video/4Q.mov","310","05:10","310","05:10","318","05:18","Q4","07:48_to_07:40","q4_cutpoint_segment","8","score","score;foul","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, fast break, driving layup made","9 Ying-Chun Chen | +1 | 1st free throw made / 5 Junhyeong Byeon Technical foul; 1 free throw awarded"
"12","yes","video/4Q.mov","318","05:18","318","05:18","391","06:31","Q4","07:40_to_07:27","q4_cutpoint_segment","73","score;foul","turnover","9 Ying-Chun Chen | +1 | 1st free throw made / 5 Junhyeong Byeon Technical foul; 1 free throw awarded","2 Junyong Choi turnover; ball handling"
"13","yes","video/4Q.mov","391","06:31","391","06:31","395","06:35","Q4","07:27_to_07:21","q4_cutpoint_segment","4","turnover","score","2 Junyong Choi turnover; ball handling","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made"
"14","yes","video/4Q.mov","395","06:35","395","06:35","410","06:50","Q4","07:21_to_07:06","q4_cutpoint_segment","15","score","score","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made","33 Seounghyun Lee | +2 | 2PtsFG inside center, jump shot made"
"15","yes","video/4Q.mov","410","06:50","410","06:50","434","07:14","Q4","07:06_to_06:43","q4_cutpoint_segment","24","score","turnover","33 Seounghyun Lee | +2 | 2PtsFG inside center, jump shot made","34 Brandon Gilbeck turnover; bad pass"
"16","yes","video/4Q.mov","434","07:14","434","07:14","461","07:41","Q4","06:43_to_06:26","q4_cutpoint_segment","27","turnover","turnover","34 Brandon Gilbeck turnover; bad pass","22 Jun Seok Yeo turnover; ball handling"
"17","yes","video/4Q.mov","461","07:41","461","07:41","484","08:04","Q4","06:26_to_06:19","q4_cutpoint_segment","23","turnover","foul;turnover;foul","22 Jun Seok Yeo turnover; ball handling","5 Junhyeong Byeon foul drawn / 34 Brandon Gilbeck turnover / 34 Brandon Gilbeck Offensive foul"
"18","yes","video/4Q.mov","484","08:04","484","08:04","536","08:56","Q4","06:19_to_06:01","q4_cutpoint_segment","52","foul;turnover;foul","turnover","5 Junhyeong Byeon foul drawn / 34 Brandon Gilbeck turnover / 34 Brandon Gilbeck Offensive foul","5 Junhyeong Byeon 2PtsFG under the basket, points after turnover, layup missed"
"19","yes","video/4Q.mov","536","08:56","536","08:56","540","09:00","Q4","06:01_to_05:58","q4_cutpoint_segment","4","turnover","defensive_rebound","5 Junhyeong Byeon 2PtsFG under the basket, points after turnover, layup missed","34 Brandon Gilbeck defensive rebound"
"20","yes","video/4Q.mov","540","09:00","540","09:00","549","09:09","Q4","05:58_to_05:49","q4_cutpoint_segment","9","defensive_rebound","defensive_rebound","34 Brandon Gilbeck defensive rebound","33 Seounghyun Lee defensive rebound"
"21","yes","video/4Q.mov","549","09:09","549","09:09","568","09:28","Q4","05:49_to_05:30","q4_cutpoint_segment","19","defensive_rebound","defensive_rebound","33 Seounghyun Lee defensive rebound","7 Ai-Che Yu defensive rebound"
"22","yes","video/4Q.mov","568","09:28","568","09:28","588","09:48","Q4","05:30_to_05:10","q4_cutpoint_segment","20","defensive_rebound","defensive_rebound","7 Ai-Che Yu defensive rebound","33 Seounghyun Lee defensive rebound"
"23","yes","video/4Q.mov","588","09:48","588","09:48","609","10:09","Q4","05:10_to_04:49","q4_cutpoint_segment","21","defensive_rebound","defensive_rebound","33 Seounghyun Lee defensive rebound","7 Ai-Che Yu defensive rebound"
"24","yes","video/4Q.mov","609","10:09","609","10:09","611","10:11","Q4","04:49_to_04:47","q4_cutpoint_segment","2","defensive_rebound","score;foul;foul;score","7 Ai-Che Yu defensive rebound","2 Riven Ma | +1 | 1st free throw made / 2 Riven Ma foul drawn / 33 Seounghyun Lee Personal foul; 1 free throw awarded / 2 Riven Ma | +2 | 2PtsFG under the basket, fast break, layup made"
"25","yes","video/4Q.mov","611","10:11","611","10:11","700","11:40","Q4","04:47_to_04:13","q4_cutpoint_segment","89","score;foul;foul;score","defensive_rebound","2 Riven Ma | +1 | 1st free throw made / 2 Riven Ma foul drawn / 33 Seounghyun Lee Personal foul; 1 free throw awarded / 2 Riven Ma | +2 | 2PtsFG under the basket, fast break, layup made","team defensive rebound"
"26","yes","video/4Q.mov","700","11:40","700","11:40","750","12:30","Q4","04:13_to_03:50","q4_cutpoint_segment","50","defensive_rebound","defensive_rebound","team defensive rebound","2 Junyong Choi defensive rebound"
"27","yes","video/4Q.mov","750","12:30","750","12:30","770","12:50","Q4","03:50_to_03:29","q4_cutpoint_segment","20","defensive_rebound","defensive_rebound","2 Junyong Choi defensive rebound","34 Brandon Gilbeck defensive rebound"
"28","yes","video/4Q.mov","770","12:50","770","12:50","780","13:00","Q4","03:29_to_03:19","q4_cutpoint_segment","10","defensive_rebound","score","34 Brandon Gilbeck defensive rebound","7 Ai-Che Yu | +2 | 2PtsFG under the basket, driving layup made"
"29","yes","video/4Q.mov","780","13:00","780","13:00","808","13:28","Q4","03:19_to_02:51","q4_cutpoint_segment","28","score","defensive_rebound","7 Ai-Che Yu | +2 | 2PtsFG under the basket, driving layup made","1 Bachir Gadiaga defensive rebound"
"30","yes","video/4Q.mov","808","13:28","808","13:28","821","13:41","Q4","02:51_to_02:38","q4_cutpoint_segment","13","defensive_rebound","score","1 Bachir Gadiaga defensive rebound","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made"
"31","yes","video/4Q.mov","821","13:41","821","13:41","838","13:58","Q4","02:38_to_02:21","q4_cutpoint_segment","17","score","foul","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made","6 Junghyun Lee foul drawn / 7 Ai-Che Yu Personal foul"
"32","yes","video/4Q.mov","838","13:58","838","13:58","946","15:46","Q4","02:21_to_01:50","q4_cutpoint_segment","108","foul","defensive_rebound","6 Junghyun Lee foul drawn / 7 Ai-Che Yu Personal foul","1 Bachir Gadiaga defensive rebound"
"33","yes","video/4Q.mov","946","15:46","946","15:46","972","16:12","Q4","01:50_to_01:27","q4_cutpoint_segment","26","defensive_rebound","score","1 Bachir Gadiaga defensive rebound","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"34","yes","video/4Q.mov","972","16:12","972","16:12","985","16:25","Q4","01:27_to_01:14","q4_cutpoint_segment","13","score","turnover","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made","11 Woosuk Lee turnover; ball handling"
"35","yes","video/4Q.mov","985","16:25","985","16:25","996","16:36","Q4","01:14_to_01:03/01:02","q4_cutpoint_segment","11","turnover","defensive_rebound;foul;foul;score","11 Woosuk Lee turnover; ball handling","11 Woosuk Lee defensive rebound / 11 Woosuk Lee foul drawn / 9 Ying-Chun Chen Personal foul; 1 free throw awarded / 11 Woosuk Lee | +2 | 2PtsFG under the basket, fast break, driving layup made"
"36","yes","video/4Q.mov","996","16:36","996","16:36","998","16:38","Q4","01:03/01:02_to_01:01","q4_cutpoint_segment","2","defensive_rebound;foul;foul;score","score","11 Woosuk Lee defensive rebound / 11 Woosuk Lee foul drawn / 9 Ying-Chun Chen Personal foul; 1 free throw awarded / 11 Woosuk Lee | +2 | 2PtsFG under the basket, fast break, driving layup made","11 Woosuk Lee | +1 | 1st free throw made"
